Dataset,Model,ML Accuracy,FOLD-R++ Accuracy,Hybrid Accuracy,ML Precision,FOLD-R++ Precision,Hybrid Precision,ML Recall,FOLD-R++ Recall,Hybrid Recall,ML F1 Score,FOLD-R++ F1 Score,Hybrid F1 Score
heart,KNN,0.6555555555555556,0.7777777777777778,0.6555555555555556,0.6671358770954081,0.782828431372549,0.6671358770954081,0.7348169710238676,0.8231535386707801,0.7348169710238676,0.6954661875017826,0.7991395373412796,0.6954661875017826
heart,Neural Network,0.7666666666666667,0.7777777777777778,0.7703703703703704,0.8267066340327622,0.782828431372549,0.8203533747651395,0.7725149690666933,0.8231535386707801,0.7926149839942943,0.7688563031001057,0.7991395373412796,0.7778784560430241
heart,Random Forest,0.825925925925926,0.7777777777777778,0.8148148148148149,0.8117816091954022,0.782828431372549,0.7983796296296296,0.8743925295649433,0.8231535386707801,0.8749033852482129,0.8417301271710995,0.7991395373412796,0.8339000769134743
heart,SVM,0.6407407407407407,0.7777777777777778,0.7518518518518518,0.6227609361113855,0.782828431372549,0.7370849420849421,0.8439924698545388,0.8231535386707801,0.850071320760976,0.7155381736593326,0.7991395373412796,0.7870609770979946
autism,KNN,0.875177304964539,0.926241134751773,0.875177304964539,0.8931264016583296,0.9434728735141229,0.8931264016583296,0.9389561932614898,0.9545917598694682,0.9389561932614898,0.9154221827865072,0.9489323008094381,0.9154221827865072
autism,Neural Network,0.975886524822695,0.926241134751773,0.9744680851063829,0.9784394694670576,0.9434728735141229,0.9802901743221561,0.9880544340148301,0.9545917598694682,0.984191140889401,0.9832049118572386,0.9489323008094381,0.9822309522968358
autism,Random Forest,0.9659574468085106,0.926241134751773,0.9531914893617021,0.9724766997664238,0.9434728735141229,0.957463919100127,0.9800920843818085,0.9545917598694682,0.9781877225170506,0.9762097314406321,0.9489323008094381,0.9676735585164031
autism,SVM,0.7205673758865249,0.926241134751773,0.9404255319148935,0.7205673758865249,0.9434728735141229,0.9378865648024526,1.0,0.9545917598694682,0.9822075244972487,0.8375014188282371,0.9489323008094381,0.9594405487475755
breastw,KNN,0.9485714285714286,0.9400000000000001,0.9485714285714286,0.939112076036088,0.9132240295050134,0.939112076036088,0.9140332248841565,0.9198680863649809,0.9140332248841565,0.9255170286884862,0.9164692112783888,0.9255170286884862
breastw,Neural Network,0.9385714285714286,0.9400000000000001,0.9457142857142857,0.9186727374305015,0.9132240295050134,0.9237731817448799,0.9099896480331264,0.9198680863649809,0.9267977915804003,0.9132028159908725,0.9164692112783888,0.9244590033421695
breastw,Random Forest,0.9642857142857142,0.9400000000000001,0.9614285714285714,0.9529590355735909,0.9132240295050134,0.9454532240246525,0.9496086956521739,0.9198680863649809,0.9499565217391304,0.9502137662526746,0.9164692112783888,0.9468880026898219
breastw,SVM,0.9585714285714285,0.9400000000000001,0.96,0.9269231033503716,0.9132240295050134,0.9305515332069453,0.9589397614118111,0.9198680863649809,0.9597161589273391,0.9418351910677206,0.9164692112783888,0.9442201825925215
ecoli,KNN,0.65,0.9294117647058824,0.65,0.6355116020633262,0.9118533203034109,0.6355116020633262,0.5578989765627697,0.9390997894446171,0.5578989765627697,0.5902179691653375,0.9234116636156461,0.5902179691653375
ecoli,Neural Network,0.9147058823529411,0.9294117647058824,0.9558823529411764,0.9302702160268573,0.9118533203034109,0.9507389162561577,0.8867406199302751,0.9390997894446171,0.9573038987263125,0.904475035209668,0.9234116636156461,0.9530275551634275
ecoli,Random Forest,0.9617647058823529,0.9294117647058824,0.9647058823529413,0.9687978927203066,0.9118533203034109,0.9525424672793094,0.9494685633909772,0.9390997894446171,0.9742705205205204,0.9589708547795354,0.9234116636156461,0.9628875584413151
ecoli,SVM,0.538235294117647,0.9294117647058824,0.8147058823529412,0.27416666666666667,0.9118533203034109,0.8311427939876216,0.11266266266266264,0.9390997894446171,0.7238845742294018,0.15224900450036521,0.9234116636156461,0.7509583833870258
kidney,KNN,0.905,0.6050000000000001,0.905,0.9797707847707848,0.5981824083089906,0.9797707847707848,0.8536630499598143,1.0,0.8536630499598143,0.9121456919023385,0.7477645589383294,0.9121456919023385
kidney,Neural Network,0.9650000000000001,0.6050000000000001,0.9650000000000001,0.9707882655058734,0.5981824083089906,0.9707882655058734,0.9694430401078531,1.0,0.9694430401078531,0.9699073898110372,0.7477645589383294,0.9699073898110372
kidney,Random Forest,1.0,0.6050000000000001,0.9974999999999999,1.0,0.5981824083089906,0.9957446808510639,1.0,1.0,1.0,1.0,0.7477645589383294,0.9978494623655914
kidney,SVM,0.9275,0.6050000000000001,0.9375,0.9677444061547774,0.5981824083089906,0.9482070792906366,0.905684646496072,1.0,0.9447389230250707,0.9356280235715635,0.7477645589383294,0.9463772113105003
parkison,KNN,0.7092105263157895,0.7078947368421054,0.7092105263157895,0.7747861623300561,0.8002896616655006,0.7747861623300561,0.8518860831323591,0.8520041849907788,0.8518860831323591,0.8104464541906363,0.8017822485777879,0.8104464541906363
parkison,Neural Network,0.5657894736842105,0.7078947368421054,0.5657894736842105,0.5744165309854514,0.8002896616655006,0.5744165309854514,0.6122932330827068,0.8520041849907788,0.6122932330827068,0.5439048238708966,0.8017822485777879,0.5439048238708966
parkison,Random Forest,0.8526315789473685,0.7078947368421054,0.8328947368421054,0.8532904761904762,0.8002896616655006,0.8406703091684434,0.9638204000567455,0.8520041849907788,0.9559945855204048,0.9048807313642756,0.8017822485777879,0.8932454800101859
parkison,SVM,0.7302631578947368,0.7078947368421054,0.7302631578947368,0.748005481210101,0.8002896616655006,0.7451116698093443,0.9532423038728897,0.8520041849907788,0.964865938430983,0.8375143308835066,0.8017822485777879,0.839252456830167
